,year,population_count,inflation_rate,gdp_rate,labor_force_count,employment_sector_value,rate,country_Pakistan,sector_Industry,sector_Services
0,2005,1154676322.0,4.24634362,7.923430621,454832471.0,53.065,7.552,False,False,False
1,2005,1154676322.0,4.24634362,7.923430621,454832471.0,18.447,7.552,False,True,False
2,2005,1154676322.0,4.24634362,7.923430621,454832471.0,28.488,7.552,False,False,True
3,2006,1172878890.0,5.796523376,8.060732572,457611460.0,52.784,7.552,False,False,False
4,2006,1172878890.0,5.796523376,8.060732572,457611460.0,19.04,7.552,False,True,False
5,2006,1172878890.0,5.796523376,8.060732572,457611460.0,28.176,7.552,False,False,True
6,2007,1190676021.0,6.372881356,7.660815067,460225575.0,52.369,7.561,False,False,False
7,2007,1190676021.0,6.372881356,7.660815067,460225575.0,19.829,7.561,False,True,False
8,2007,1190676021.0,6.372881356,7.660815067,460225575.0,27.802,7.561,False,False,True
9,2008,1207930964.0,8.349267049,3.086698059,462536166.0,52.138,7.656,False,False,False
10,2008,1207930964.0,8.349267049,3.086698059,462536166.0,20.441,7.656,False,True,False
11,2008,1207930964.0,8.349267049,3.086698059,462536166.0,27.42,7.656,False,False,True
12,2009,1225524753.0,10.88235294,7.861888833,464961693.0,51.607,7.664,False,False,False
13,2009,1225524753.0,10.88235294,7.861888833,464961693.0,21.372,7.664,False,True,False
14,2009,1225524753.0,10.88235294,7.861888833,464961693.0,27.022,7.664,False,False,True
15,2010,1243481564.0,11.98938992,8.497584702,467561989.0,51.056,7.652,False,False,False
16,2010,1243481564.0,11.98938992,8.497584702,467561989.0,22.378,7.652,False,True,False
17,2010,1243481564.0,11.98938992,8.497584702,467561989.0,26.566,7.652,False,False,True
18,2011,1261224954.0,8.911793365,5.241316199,471891929.0,49.079,7.616,False,False,False
19,2011,1261224954.0,8.911793365,5.241316199,471891929.0,23.534,7.616,False,True,False
20,2011,1261224954.0,8.911793365,5.241316199,471891929.0,27.387,7.616,False,False,True
21,2012,1278674502.0,9.478996914,5.456387552,476101422.0,47.088,7.666,False,False,False
22,2012,1278674502.0,9.478996914,5.456387552,476101422.0,24.692,7.666,False,True,False
23,2012,1278674502.0,9.478996914,5.456387552,476101422.0,28.22,7.666,False,False,True
24,2013,1295829511.0,10.01787847,6.386106401,484539458.0,46.201,7.711,False,False,False
25,2013,1295829511.0,10.01787847,6.386106401,484539458.0,24.757,7.711,False,True,False
26,2013,1295829511.0,10.01787847,6.386106401,484539458.0,29.042,7.711,False,False,True
27,2014,1312277191.0,6.665656719,7.410227605,492791763.0,45.238,7.674,False,False,False
28,2014,1312277191.0,6.665656719,7.410227605,492791763.0,24.883,7.674,False,True,False
29,2014,1312277191.0,6.665656719,7.410227605,492791763.0,29.879,7.674,False,False,True
30,2015,1328024498.0,4.906973441,7.996253786,500763345.0,44.273,7.631,False,False,False
31,2015,1328024498.0,4.906973441,7.996253786,500763345.0,24.981,7.631,False,True,False
32,2015,1328024498.0,4.906973441,7.996253786,500763345.0,30.747,7.631,False,False,True
33,2016,1343944296.0,4.948216341,8.256305502,508796784.0,43.237,7.601,False,False,False
34,2016,1343944296.0,4.948216341,8.256305502,508796784.0,25.18,7.601,False,True,False
35,2016,1343944296.0,4.948216341,8.256305502,508796784.0,31.583,7.601,False,False,True
36,2017,1359657400.0,3.328173375,6.795383419,516812065.0,42.268,7.618,False,False,False
37,2017,1359657400.0,3.328173375,6.795383419,516812065.0,25.262,7.618,False,True,False
38,2017,1359657400.0,3.328173375,6.795383419,516812065.0,32.469,7.618,False,False,True
39,2018,1374659064.0,3.938826467,6.453851345,524342818.0,41.295,7.652,False,False,False
40,2018,1374659064.0,3.938826467,6.453851345,524342818.0,25.366,7.652,False,True,False
41,2018,1374659064.0,3.938826467,6.453851345,524342818.0,33.339,7.652,False,False,True
42,2019,1389030312.0,3.729505735,3.871436941,531383542.0,40.652,6.51,False,False,False
43,2019,1389030312.0,3.729505735,3.871436941,531383542.0,25.251,6.51,False,True,False
44,2019,1389030312.0,3.729505735,3.871436941,531383542.0,34.097,6.51,False,False,True
45,2020,1402617695.0,6.623436776,-5.777724707,532528354.0,44.675,7.859,False,False,False
46,2020,1402617695.0,6.623436776,-5.777724707,532528354.0,23.704,7.859,False,True,False
47,2020,1402617695.0,6.623436776,-5.777724707,532528354.0,31.621,7.859,False,False,True
48,2021,1414203896.0,5.131407472,9.689592492,550352877.0,44.079,6.38,False,False,False
49,2021,1414203896.0,5.131407472,9.689592492,550352877.0,24.47,6.38,False,True,False
50,2021,1414203896.0,5.131407472,9.689592492,550352877.0,31.45,6.38,False,False,True
51,2022,1425423212.0,6.699034141,6.987039326,568900960.0,42.861,4.822,False,False,False
52,2022,1425423212.0,6.699034141,6.987039326,568900960.0,26.12,4.822,False,True,False
53,2022,1425423212.0,6.699034141,6.987039326,568900960.0,31.019,4.822,False,False,True
55,2005,175453212.0,9.06332737,7.276574436,51855384.0,43.068,0.585,True,False,False
56,2005,175453212.0,9.06332737,7.276574436,51855384.0,20.313,0.585,True,True,False
57,2005,175453212.0,9.06332737,7.276574436,51855384.0,36.619,0.585,True,False,True
58,2006,179682690.0,7.921084401,6.051637676,53143744.0,43.389,0.582,True,False,False
59,2006,179682690.0,7.921084401,6.051637676,53143744.0,20.731,0.582,True,True,False
60,2006,179682690.0,7.921084401,6.051637676,53143744.0,35.88,0.582,True,False,True
61,2007,184493231.0,7.598684411,4.44481434,55026645.0,43.632,0.398,True,False,False
62,2007,184493231.0,7.598684411,4.44481434,55026645.0,20.982,0.398,True,True,False
63,2007,184493231.0,7.598684411,4.44481434,55026645.0,35.386,0.398,True,False,True
64,2008,189499113.0,20.28612109,2.120441043,56978123.0,44.695,0.423,True,False,False
65,2008,189499113.0,20.28612109,2.120441043,56978123.0,20.116,0.423,True,True,False
66,2008,189499113.0,20.28612109,2.120441043,56978123.0,35.189,0.423,True,False,True
67,2009,194376534.0,13.64776506,3.472550596,59305908.0,43.308,0.535,True,False,False
68,2009,194376534.0,13.64776506,3.472550596,59305908.0,20.985,0.535,True,True,False
69,2009,194376534.0,13.64776506,3.472550596,59305908.0,35.708,0.535,True,False,True
70,2010,199239047.0,12.93887056,1.501717522,61633684.0,43.389,0.653,True,False,False
71,2010,199239047.0,12.93887056,1.501717522,61633684.0,21.418,0.653,True,True,False
72,2010,199239047.0,12.93887056,1.501717522,61633684.0,35.192,0.653,True,False,True
73,2011,203746065.0,11.91609271,2.680116854,62965404.0,43.493,0.796,True,False,False
74,2011,203746065.0,11.91609271,2.680116854,62965404.0,21.768,0.796,True,True,False
75,2011,203746065.0,11.91609271,2.680116854,62965404.0,34.738,0.796,True,False,True
76,2012,207667125.0,9.682351861,3.027583911,64736311.0,42.896,3.667,True,False,False
77,2012,207667125.0,9.682351861,3.027583911,64736311.0,22.298,3.667,True,True,False
78,2012,207667125.0,9.682351861,3.027583911,64736311.0,34.806,3.667,True,False,True
79,2013,211073978.0,7.692156119,4.36686505,66307781.0,42.237,2.954,True,False,False
80,2013,211073978.0,7.692156119,4.36686505,66307781.0,22.922,2.954,True,True,False
81,2013,211073978.0,7.692156119,4.36686505,66307781.0,34.842,2.954,True,False,True
82,2014,214264647.0,7.189384028,4.116428172,66802824.0,42.233,1.827,True,False,False
83,2014,214264647.0,7.189384028,4.116428172,66802824.0,22.873,1.827,True,True,False
84,2014,214264647.0,7.189384028,4.116428172,66802824.0,34.894,1.827,True,False,True
85,2015,217290883.0,2.529328173,4.217942096,69229075.0,41.01,3.566,True,False,False
86,2015,217290883.0,2.529328173,4.217942096,69229075.0,24.02,3.566,True,True,False
87,2015,217290883.0,2.529328173,4.217942096,69229075.0,34.97,3.566,True,False,True
88,2016,220138869.0,3.765119164,6.573838285,69799389.0,42.268,2.285,True,False,False
89,2016,220138869.0,3.765119164,6.573838285,69799389.0,23.593,2.285,True,True,False
90,2016,220138869.0,3.765119164,6.573838285,69799389.0,34.139,2.285,True,False,True
91,2017,223273967.0,4.08537368,4.432625907,70494278.0,39.866,3.215,True,False,False
92,2017,223273967.0,4.08537368,4.432625907,70494278.0,24.273,3.215,True,True,False
93,2017,223273967.0,4.08537368,4.432625907,70494278.0,35.861,3.215,True,False,True
94,2018,226928892.0,5.078057259,6.151702611,71401725.0,37.416,4.083,True,False,False
95,2018,226928892.0,5.078057259,6.151702611,71401725.0,24.989,4.083,True,True,False
96,2018,226928892.0,5.078057259,6.151702611,71401725.0,37.595,4.083,True,False,True
97,2019,230800899.0,10.5783618,2.497636929,73727954.0,38.309,4.83,True,False,False
98,2019,230800899.0,10.5783618,2.497636929,73727954.0,24.332,4.83,True,True,False
99,2019,230800899.0,10.5783618,2.497636929,73727954.0,37.36,4.83,True,False,True
100,2020,235001746.0,9.739993139,-1.274087443,75415987.0,38.014,6.127,True,False,False
101,2020,235001746.0,9.739993139,-1.274087443,75415987.0,24.754,6.127,True,True,False
102,2020,235001746.0,9.739993139,-1.274087443,75415987.0,37.232,6.127,True,False,True
103,2021,239477801.0,9.496210561,6.513885759,78814704.0,37.098,6.338,True,False,False
104,2021,239477801.0,9.496210561,6.513885759,78814704.0,25.428,6.338,True,True,False
105,2021,239477801.0,9.496210561,6.513885759,78814704.0,37.474,6.338,True,False,True
106,2022,243700667.0,19.87385996,4.778106869,80282511.0,36.43,5.485,True,False,False
107,2022,243700667.0,19.87385996,4.778106869,80282511.0,25.517,5.485,True,True,False
108,2022,243700667.0,19.87385996,4.778106869,80282511.0,38.053,5.485,True,False,True
