,time,age_bracket,gender,mean
0,2017-07-01,15-24,Female,680.5
1,2017-07-01,15-24,Male,2917.25
2,2017-07-01,25-54,Female,669.0
3,2017-07-01,25-54,Male,2434.75
4,2017-07-01,55-64,Female,96.66666666666667
5,2017-07-01,55-64,Male,197.33333333333334
6,2017-07-01,65+,Female,408.0
7,2017-07-01,65+,Male,440.5
8,2017-10-01,15-24,Female,674.25
9,2017-10-01,15-24,Male,2740.5
10,2017-10-01,25-54,Female,744.0
11,2017-10-01,25-54,Male,2139.0
12,2017-10-01,55-64,Female,142.0
13,2017-10-01,55-64,Male,232.33333333333334
14,2017-10-01,65+,Female,408.0
15,2017-10-01,65+,Male,402.75
16,2018-01-01,15-24,Female,690.25
17,2018-01-01,15-24,Male,2856.25
18,2018-01-01,25-54,Female,854.25
19,2018-01-01,25-54,Male,2230.5
20,2018-01-01,55-64,Female,71.5
21,2018-01-01,55-64,Male,147.0
22,2018-01-01,65+,Female,85.0
23,2018-01-01,65+,Male,106.0
24,2018-04-01,15-24,Female,713.25
25,2018-04-01,15-24,Male,2714.25
26,2018-04-01,15-24,Other,1650.0
27,2018-04-01,25-54,Female,917.0
28,2018-04-01,25-54,Male,2608.75
29,2018-04-01,55-64,Female,126.0
30,2018-04-01,55-64,Male,228.0
31,2018-04-01,65+,Female,85.0
32,2018-04-01,65+,Male,124.0
33,2018-07-01,15-24,Female,697.5
34,2018-07-01,15-24,Male,2742.0
35,2018-07-01,25-54,Female,923.0
36,2018-07-01,25-54,Male,2569.0
37,2018-07-01,55-64,Female,70.25
38,2018-07-01,55-64,Male,202.75
39,2018-07-01,65+,Female,295.0
40,2018-07-01,65+,Male,301.0
41,2018-10-01,15-24,Female,716.75
42,2018-10-01,15-24,Male,3373.75
43,2018-10-01,25-54,Female,787.25
44,2018-10-01,25-54,Male,2512.25
45,2018-10-01,25-54,Other,721.0
46,2018-10-01,55-64,Female,89.5
47,2018-10-01,55-64,Male,156.75
48,2018-10-01,65+,Female,300.3333333333333
49,2018-10-01,65+,Male,310.6666666666667
50,2019-01-01,15-24,Female,666.5
51,2019-01-01,15-24,Male,2703.25
52,2019-01-01,25-54,Female,770.25
53,2019-01-01,25-54,Male,2306.75
54,2019-01-01,25-54,Other,1761.0
55,2019-01-01,55-64,Female,107.0
56,2019-01-01,55-64,Male,194.5
57,2019-01-01,65+,Female,85.0
58,2019-01-01,65+,Male,111.5
59,2019-04-01,15-24,Female,830.0
60,2019-04-01,15-24,Male,2584.0
61,2019-04-01,15-24,Other,1679.0
62,2019-04-01,25-54,Female,778.6
63,2019-04-01,25-54,Male,1964.2
64,2019-04-01,55-64,Female,95.0
65,2019-04-01,55-64,Male,253.25
66,2019-04-01,65+,Female,408.0
67,2019-04-01,65+,Male,436.75
68,2019-07-01,15-24,Female,751.25
69,2019-07-01,15-24,Male,2656.75
70,2019-07-01,25-54,Female,706.0
71,2019-07-01,25-54,Male,2099.5
72,2019-07-01,55-64,Female,83.75
73,2019-07-01,55-64,Male,166.75
74,2019-07-01,65+,Female,300.3333333333333
75,2019-07-01,65+,Male,292.6666666666667
76,2019-10-01,15-24,Female,705.5
77,2019-10-01,15-24,Male,2660.75
78,2019-10-01,25-54,Female,753.5
79,2019-10-01,25-54,Male,2288.75
80,2019-10-01,55-64,Female,52.5
81,2019-10-01,55-64,Male,124.75
82,2019-10-01,65+,Female,300.3333333333333
83,2019-10-01,65+,Male,290.6666666666667
84,2020-01-01,15-24,Female,842.5
85,2020-01-01,15-24,Male,2543.25
86,2020-01-01,25-54,Female,756.75
87,2020-01-01,25-54,Male,2637.5
88,2020-01-01,55-64,Female,88.5
89,2020-01-01,55-64,Male,227.0
90,2020-01-01,65+,Female,85.0
91,2020-01-01,65+,Male,91.0
92,2020-04-01,15-24,Female,870.25
93,2020-04-01,15-24,Male,3546.0
94,2020-04-01,25-54,Female,1331.75
95,2020-04-01,25-54,Male,5166.25
96,2020-04-01,25-54,Other,1093.0
97,2020-04-01,55-64,Female,206.25
98,2020-04-01,55-64,Male,508.25
99,2020-04-01,65+,Female,419.75
100,2020-04-01,65+,Male,469.25
101,2020-07-01,15-24,Female,788.0
102,2020-07-01,15-24,Male,2791.0
103,2020-07-01,25-54,Female,1084.25
104,2020-07-01,25-54,Male,2689.75
105,2020-07-01,25-54,Other,721.0
106,2020-07-01,55-64,Female,134.5
107,2020-07-01,55-64,Male,224.0
108,2020-07-01,65+,Female,300.3333333333333
109,2020-07-01,65+,Male,329.6666666666667
110,2020-10-01,15-24,Female,745.0
111,2020-10-01,15-24,Male,2565.75
112,2020-10-01,25-54,Female,646.25
113,2020-10-01,25-54,Male,2407.25
114,2020-10-01,25-54,Other,1761.0
115,2020-10-01,55-64,Female,95.0
116,2020-10-01,55-64,Male,132.25
117,2020-10-01,65+,Female,331.6666666666667
118,2020-10-01,65+,Male,318.3333333333333
119,2021-01-01,15-24,Female,786.5
120,2021-01-01,15-24,Male,2338.5
121,2021-01-01,15-24,Other,1650.0
122,2021-01-01,25-54,Female,767.25
123,2021-01-01,25-54,Male,2102.25
124,2021-01-01,25-54,Other,1761.0
125,2021-01-01,55-64,Female,81.5
126,2021-01-01,55-64,Male,167.25
127,2021-01-01,65+,Female,288.6666666666667
128,2021-01-01,65+,Male,296.6666666666667
129,2021-04-01,15-24,Female,644.0
130,2021-04-01,15-24,Male,2573.5
131,2021-04-01,25-54,Female,1118.75
132,2021-04-01,25-54,Male,3504.0
133,2021-04-01,55-64,Female,127.0
134,2021-04-01,55-64,Male,270.25
135,2021-04-01,65+,Female,396.0
136,2021-04-01,65+,Male,425.0
137,2021-07-01,15-24,Female,579.75
138,2021-07-01,15-24,Male,2546.0
139,2021-07-01,25-54,Female,786.5
140,2021-07-01,25-54,Male,2941.75
141,2021-07-01,55-64,Female,125.75
142,2021-07-01,55-64,Male,209.0
143,2021-07-01,65+,Female,281.6666666666667
144,2021-07-01,65+,Male,295.6666666666667
