,time,age_bracket,gender,mean
0,2017-07-01,15-24,Female,59.0
1,2017-07-01,15-24,Male,203.0
2,2017-07-01,25-54,Female,59.25
3,2017-07-01,25-54,Male,172.0
4,2017-07-01,55-64,Female,76.66666666666667
5,2017-07-01,55-64,Male,61.333333333333336
6,2017-07-01,65+,Female,491.6666666666667
7,2017-07-01,65+,Male,493.6666666666667
8,2017-10-01,15-24,Female,52.25
9,2017-10-01,15-24,Male,206.5
10,2017-10-01,25-54,Female,414.0
11,2017-10-01,25-54,Male,137.75
12,2017-10-01,55-64,Female,90.75
13,2017-10-01,55-64,Male,65.0
14,2017-10-01,65+,Female,274.3333333333333
15,2017-10-01,65+,Male,276.3333333333333
16,2018-01-01,15-24,Female,69.5
17,2018-01-01,15-24,Male,298.75
18,2018-01-01,25-54,Female,102.75
19,2018-01-01,25-54,Male,200.75
20,2018-01-01,55-64,Female,87.66666666666667
21,2018-01-01,55-64,Male,62.0
22,2018-01-01,65+,Female,300.3333333333333
23,2018-01-01,65+,Male,271.3333333333333
24,2018-04-01,15-24,Female,63.5
25,2018-04-01,15-24,Male,301.25
26,2018-04-01,25-54,Female,63.75
27,2018-04-01,25-54,Male,186.25
28,2018-04-01,55-64,Female,75.75
29,2018-04-01,55-64,Male,64.75
30,2018-04-01,65+,Female,276.0
31,2018-04-01,65+,Male,278.3333333333333
32,2018-07-01,15-24,Female,80.75
33,2018-07-01,15-24,Male,276.5
34,2018-07-01,25-54,Female,469.75
35,2018-07-01,25-54,Male,176.25
36,2018-07-01,55-64,Female,82.25
37,2018-07-01,55-64,Male,54.75
38,2018-07-01,65+,Female,85.0
39,2018-07-01,65+,Male,85.0
40,2018-10-01,15-24,Female,89.25
41,2018-10-01,15-24,Male,279.0
42,2018-10-01,25-54,Female,124.5
43,2018-10-01,25-54,Male,190.25
44,2018-10-01,55-64,Female,71.5
45,2018-10-01,55-64,Male,47.5
46,2018-10-01,65+,Female,300.3333333333333
47,2018-10-01,65+,Male,274.0
48,2019-01-01,15-24,Female,89.5
49,2019-01-01,15-24,Male,317.75
50,2019-01-01,25-54,Female,129.75
51,2019-01-01,25-54,Male,204.5
52,2019-01-01,55-64,Female,83.25
53,2019-01-01,55-64,Male,63.0
54,2019-01-01,65+,Female,300.3333333333333
55,2019-01-01,65+,Male,277.0
56,2019-04-01,15-24,Female,78.75
57,2019-04-01,15-24,Male,282.25
58,2019-04-01,25-54,Female,115.5
59,2019-04-01,25-54,Male,182.25
60,2019-04-01,55-64,Female,83.75
61,2019-04-01,55-64,Male,63.5
62,2019-04-01,65+,Female,414.0
63,2019-04-01,65+,Male,377.0
64,2020-07-01,15-24,Female,127.25
65,2020-07-01,15-24,Male,286.25
66,2020-07-01,25-54,Female,135.5
67,2020-07-01,25-54,Male,341.0
68,2020-07-01,55-64,Female,116.75
69,2020-07-01,55-64,Male,32.25
70,2020-07-01,65+,Female,85.0
71,2020-07-01,65+,Male,42.5
72,2020-10-01,15-24,Female,151.0
73,2020-10-01,15-24,Male,343.0
74,2020-10-01,25-54,Female,191.75
75,2020-10-01,25-54,Male,329.75
76,2020-10-01,55-64,Female,72.75
77,2020-10-01,55-64,Male,28.5
78,2020-10-01,65+,Female,408.0
79,2020-10-01,65+,Male,386.5
80,2021-01-01,15-24,Female,173.25
81,2021-01-01,15-24,Male,337.75
82,2021-01-01,25-54,Female,217.75
83,2021-01-01,25-54,Male,328.0
84,2021-01-01,55-64,Female,68.0
85,2021-01-01,55-64,Male,44.75
86,2021-01-01,65+,Female,414.0
87,2021-01-01,65+,Male,414.0
88,2021-04-01,15-24,Female,153.25
89,2021-04-01,15-24,Male,324.25
90,2021-04-01,25-54,Female,216.0
91,2021-04-01,25-54,Male,369.25
92,2021-04-01,55-64,Female,63.0
93,2021-04-01,55-64,Male,43.5
94,2021-04-01,65+,Female,85.0
95,2021-04-01,65+,Male,85.0
