,time,region,gender,mean
0,2017-07-01,Rural,Female,851.5
1,2017-07-01,Rural,Male,3784.5
2,2017-07-01,Urban,Female,601.0
3,2017-07-01,Urban,Male,1786.25
4,2017-10-01,Rural,Female,877.0
5,2017-10-01,Rural,Male,3466.75
6,2017-10-01,Urban,Female,671.25
7,2017-10-01,Urban,Male,1622.75
8,2018-01-01,Rural,Female,800.0
9,2018-01-01,Rural,Male,3704.25
10,2018-01-01,Urban,Female,761.0
11,2018-01-01,Urban,Male,1577.75
12,2018-04-01,Rural,Female,1038.0
13,2018-04-01,Rural,Male,3857.0
14,2018-04-01,Urban,Female,687.25
15,2018-04-01,Urban,Male,1752.0
16,2018-04-01,Urban,Other,1584.0
17,2018-07-01,Rural,Female,986.5
18,2018-07-01,Rural,Male,3727.25
19,2018-07-01,Urban,Female,635.5
20,2018-07-01,Urban,Male,1802.75
21,2018-10-01,Rural,Female,823.5
22,2018-10-01,Rural,Male,4113.0
23,2018-10-01,Urban,Female,672.25
24,2018-10-01,Urban,Male,1986.5
25,2018-10-01,Urban,Other,1853.0
26,2019-01-01,Rural,Female,863.5
27,2019-01-01,Rural,Male,3332.5
28,2019-01-01,Urban,Female,693.5
29,2019-01-01,Urban,Male,1920.75
30,2019-01-01,Urban,Other,1853.0
31,2019-04-01,Rural,Female,971.0
32,2019-04-01,Rural,Male,3514.0
33,2019-04-01,Rural,Other,3058.0
34,2019-04-01,Urban,Female,701.75
35,2019-04-01,Urban,Male,1647.0
36,2019-07-01,Rural,Female,832.75
37,2019-07-01,Rural,Male,3042.0
38,2019-07-01,Urban,Female,695.75
39,2019-07-01,Urban,Male,1902.75
40,2019-10-01,Rural,Female,731.75
41,2019-10-01,Rural,Male,3272.75
42,2019-10-01,Urban,Female,716.75
43,2019-10-01,Urban,Male,1835.0
44,2020-01-01,Rural,Female,881.0
45,2020-01-01,Rural,Male,3357.0
46,2020-01-01,Urban,Female,751.5
47,2020-01-01,Urban,Male,2085.0
48,2020-04-01,Rural,Female,1237.75
49,2020-04-01,Rural,Male,5971.5
50,2020-04-01,Urban,Female,1191.5
51,2020-04-01,Urban,Male,3378.5
52,2020-04-01,Urban,Other,2.0
53,2020-07-01,Rural,Female,977.5
54,2020-07-01,Rural,Male,3478.25
55,2020-07-01,Urban,Female,946.0
56,2020-07-01,Urban,Male,2294.75
57,2020-07-01,Urban,Other,1853.0
58,2020-10-01,Rural,Female,666.0
59,2020-10-01,Rural,Male,3446.25
60,2020-10-01,Rural,Other,2698.0
61,2020-10-01,Urban,Female,753.5
62,2020-10-01,Urban,Male,1686.75
63,2021-01-01,Rural,Female,975.0
64,2021-01-01,Rural,Male,2891.5
65,2021-01-01,Urban,Female,697.0
66,2021-01-01,Urban,Male,1755.75
67,2021-01-01,Urban,Other,1718.5
68,2021-04-01,Rural,Female,1021.25
69,2021-04-01,Rural,Male,4091.75
70,2021-04-01,Urban,Female,797.75
71,2021-04-01,Urban,Male,2310.25
72,2021-07-01,Rural,Female,700.75
73,2021-07-01,Rural,Male,3772.0
74,2021-07-01,Urban,Female,677.0
75,2021-07-01,Urban,Male,1952.5
76,2021-10-01,Rural,Female,799.5
77,2021-10-01,Rural,Male,3080.75
78,2021-10-01,Urban,Female,612.0
79,2021-10-01,Urban,Male,1657.75
80,2022-01-01,Rural,Female,907.0
81,2022-01-01,Rural,Male,3076.25
82,2022-01-01,Urban,Female,715.5
83,2022-01-01,Urban,Male,1700.0
84,2022-04-01,Rural,Female,828.25
85,2022-04-01,Rural,Male,2921.5
86,2022-04-01,Urban,Female,549.5
87,2022-04-01,Urban,Male,1396.0
88,2022-07-01,Rural,Female,718.0
89,2022-07-01,Rural,Male,2441.0
90,2022-07-01,Urban,Female,659.25
91,2022-07-01,Urban,Male,1461.5
92,2022-10-01,Rural,Female,862.25
93,2022-10-01,Rural,Male,2366.75
94,2022-10-01,Rural,Other,2698.0
95,2022-10-01,Urban,Female,670.25
96,2022-10-01,Urban,Male,1446.75
97,2023-01-01,Rural,Female,891.5
98,2023-01-01,Rural,Male,2182.25
99,2023-01-01,Urban,Female,647.25
100,2023-01-01,Urban,Male,1159.75
101,2023-04-01,Rural,Female,807.25
102,2023-04-01,Rural,Male,2606.75
103,2023-04-01,Urban,Female,604.5
104,2023-04-01,Urban,Male,1327.75
105,2023-07-01,Rural,Female,1151.25
106,2023-07-01,Rural,Male,2047.25
107,2023-07-01,Urban,Female,744.5
108,2023-07-01,Urban,Male,1505.75
109,2023-10-01,Rural,Female,919.75
110,2023-10-01,Rural,Male,2121.25
111,2023-10-01,Urban,Female,747.75
112,2023-10-01,Urban,Male,1322.75
113,2024-01-01,Rural,Female,924.5
114,2024-01-01,Rural,Male,2174.0
115,2024-01-01,Urban,Female,631.75
116,2024-01-01,Urban,Male,1420.75
117,2024-04-01,Rural,Female,1132.25
118,2024-04-01,Rural,Male,2541.5
119,2024-04-01,Urban,Female,754.25
120,2024-04-01,Urban,Male,1328.0
