,time,region,gender,mean
0,2017-07-01,Rural,Female,96.0
1,2017-07-01,Rural,Male,233.75
2,2017-07-01,Urban,Female,76.0
3,2017-07-01,Urban,Male,209.0
4,2017-10-01,Rural,Female,98.75
5,2017-10-01,Rural,Male,200.75
6,2017-10-01,Urban,Female,74.25
7,2017-10-01,Urban,Male,203.0
8,2018-01-01,Rural,Female,126.0
9,2018-01-01,Rural,Male,327.75
10,2018-01-01,Urban,Female,107.0
11,2018-01-01,Urban,Male,224.5
12,2018-04-01,Rural,Female,107.25
13,2018-04-01,Rural,Male,310.25
14,2018-04-01,Urban,Female,76.0
15,2018-04-01,Urban,Male,251.75
16,2018-07-01,Rural,Female,158.5
17,2018-07-01,Rural,Male,303.25
18,2018-07-01,Urban,Female,91.0
19,2018-07-01,Urban,Male,218.25
20,2018-10-01,Rural,Female,175.5
21,2018-10-01,Rural,Male,282.5
22,2018-10-01,Urban,Female,90.75
23,2018-10-01,Urban,Male,239.75
24,2019-01-01,Rural,Female,186.0
25,2019-01-01,Rural,Male,312.25
26,2019-01-01,Urban,Female,95.25
27,2019-01-01,Urban,Male,269.25
28,2019-04-01,Rural,Female,168.5
29,2019-04-01,Rural,Male,296.5
30,2019-04-01,Urban,Female,89.25
31,2019-04-01,Urban,Male,236.0
32,2020-07-01,Rural,Female,275.0
33,2020-07-01,Rural,Male,390.25
34,2020-07-01,Urban,Female,123.0
35,2020-07-01,Urban,Male,272.75
36,2020-10-01,Rural,Female,280.0
37,2020-10-01,Rural,Male,412.25
38,2020-10-01,Urban,Female,116.5
39,2020-10-01,Urban,Male,307.25
40,2021-01-01,Rural,Female,262.75
41,2021-01-01,Rural,Male,417.75
42,2021-01-01,Urban,Female,209.5
43,2021-01-01,Urban,Male,319.75
44,2021-04-01,Rural,Female,290.75
45,2021-04-01,Rural,Male,470.25
46,2021-04-01,Urban,Female,164.25
47,2021-04-01,Urban,Male,293.75
