,country,year,rate
0,India,2005-01-01,7.552
1,Pakistan,2005-01-01,0.585
2,India,2006-01-01,7.552
3,Pakistan,2006-01-01,0.582
4,India,2007-01-01,7.561
5,Pakistan,2007-01-01,0.398
6,India,2008-01-01,7.656
7,Pakistan,2008-01-01,0.423
8,India,2009-01-01,7.664
9,Pakistan,2009-01-01,0.535
10,India,2010-01-01,7.652
11,Pakistan,2010-01-01,0.653
12,India,2011-01-01,7.616
13,Pakistan,2011-01-01,0.796
14,India,2012-01-01,7.666
15,Pakistan,2012-01-01,3.667
16,India,2013-01-01,7.711
17,Pakistan,2013-01-01,2.954
18,India,2014-01-01,7.674
19,Pakistan,2014-01-01,1.827
20,India,2015-01-01,7.631
21,Pakistan,2015-01-01,3.566
22,India,2016-01-01,7.601
23,Pakistan,2016-01-01,2.285
24,India,2017-01-01,7.618
25,Pakistan,2017-01-01,3.215
26,India,2018-01-01,7.652
27,Pakistan,2018-01-01,4.083
28,India,2019-01-01,6.51
29,Pakistan,2019-01-01,4.83
30,India,2020-01-01,7.859
31,Pakistan,2020-01-01,6.127
32,India,2021-01-01,6.38
33,Pakistan,2021-01-01,6.338
34,India,2022-01-01,4.822
35,Pakistan,2022-01-01,5.485
36,India,2023-01-01,4.172
37,Pakistan,2023-01-01,5.408
